shot_num,distance_to_goal,play_pattern,duration,shot_speed,angle_to_goal,players_between_goal,players_within_1,players_within_5,players_within_10,opponents_within_5,teammates_within_5,shot_taker_type,shot_technique,shot_body_part,goalkeeper_in_the_way,one_on_one,pass_length,pass_angle,pass_speed,goal
19372,10.24158190906073,Open Play,0.628637,16.29172624115464,0.7458707397814327,2,0,2,5,2,0,midfield,Normal,Left Foot,1,0,13.230646,2.146221,15.017759639863758,1
19373,9.5524865872714,Open Play,0.4177,22.869252064331814,0.4844779290370232,2,0,7,12,6,1,defender,Normal,Head,1,0,40.341667,1.7628443,18.677544539503618,0
19374,26.273180241455357,Open Play,0.822353,31.948786277249987,0.5648049094433026,1,0,3,5,2,1,midfield,Normal,Right Foot,1,0,36.96701,0.9467733,17.304547349947324,0
19375,21.920994502987316,Open Play,0.684248,32.036621960147954,0.729693769746158,1,0,1,2,1,0,midfield,Normal,Left Foot,1,0,19.35071,0.07241203,14.717719621588301,0
19376,19.88491890855982,Open Play,1.229596,16.171912488784788,0.576856568327775,1,0,1,1,1,0,midfield,Normal,Left Foot,1,1,14.993999,0.3470616,12.466274625151021,0
19377,27.09778588741154,Open Play,1.255582,21.58185278811861,0.7068429481153328,2,0,4,5,3,1,forward,Normal,Right Foot,1,0,14.011781,0.41894898,8.204781214688445,0
19378,16.757386431063768,Open Play,0.299813,55.892794612187494,1.1445761656210522,1,0,0,2,0,0,forward,Normal,Right Foot,1,1,19.61632,0.28950366,10.697957101096536,0
19379,30.242354405700627,Free Kick,0.33605,89.99361525279163,0.07930353143078672,5,0,0,1,0,0,forward,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19380,35.35774314064742,Open Play,1.644544,21.50002866487453,0.5804397225325778,1,0,1,1,1,0,midfield,Half Volley,Left Foot,1,0,-1.0,-1.0,-1.0,0
19381,35.072068658691926,Open Play,1.935938,18.116318114883807,0.19797126502519513,3,0,1,1,1,0,midfield,Normal,Right Foot,1,0,22.181524,2.5098133,13.760668806343741,0
19382,38.07886552931954,Open Play,2.330877,16.336711688055416,0.3045108832021125,1,0,0,2,0,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,0
19383,20.12461179749811,Open Play,1.137534,17.691437616368486,0.27094685033842053,1,0,1,6,1,0,midfield,Normal,Right Foot,1,0,21.954498,2.095592,14.811023350140557,0
19384,8.602325267042627,Open Play,0.669884,12.841514750378613,1.1441688336680205,1,0,1,3,1,0,midfield,Normal,Head,1,0,21.189621,1.2341216,17.77200938051577,0
19385,19.235384061671343,Open Play,0.52202,36.84798295404648,0.05258306161094172,2,0,1,4,1,0,midfield,Half Volley,Right Foot,1,0,18.027756,1.9100889,11.058562083684993,0
19386,15.0,Open Play,0.1153,130.09540329575023,0.260602391747341,2,0,2,5,2,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,0
19387,28.792360097775937,Open Play,1.260249,22.84656452635625,0.21866894587394195,2,0,2,7,2,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19388,15.0,Open Play,0.3574,41.96978175713486,0.8253768505207384,2,0,2,5,2,0,midfield,Normal,Right Foot,1,0,12.206555,0.9600704,10.351372317600942,0
19389,29.410882339705484,Open Play,2.097664,14.020778513482371,0.4346702151492448,1,0,2,3,2,0,midfield,Normal,Right Foot,1,0,24.083189,1.487655,15.490480313412087,0
19390,19.79898987322333,Open Play,1.103026,17.949703699843276,0.6202494859828215,3,0,1,3,1,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,0
19391,22.360679774997898,Open Play,1.211639,18.454902636014438,0.348771003583907,1,0,2,6,1,1,midfield,Normal,Right Foot,1,0,7.615773,1.9756881,10.239006595676134,0
19392,13.601470508735444,Open Play,0.058602,232.09908379808613,1.0808390005411683,2,0,2,3,1,1,defender,Normal,Right Foot,1,0,35.057095,1.6278771,11.084897326856451,0
19393,35.84689665786984,Open Play,1.652052,21.69840698589986,0.2942345651111878,1,0,2,3,2,0,defender,Normal,Left Foot,1,0,15.652476,0.4636476,6.9641989312417625,0
19394,24.186773244895647,Open Play,1.416333,17.077038553006705,0.36397895650964407,2,0,2,6,2,0,midfield,Normal,Right Foot,1,0,8.485281,2.3561945,5.811040524749055,0
19395,15.033296378372908,Open Play,0.3696,40.67450318823839,0.3217505543966422,3,0,3,6,3,0,midfield,Normal,Left Foot,1,0,13.928389,1.2036225,13.44642795982028,0
19396,10.816653826391969,Open Play,1.415316,7.642571571572686,0.83798122500839,1,0,4,11,3,1,defender,Normal,Head,1,0,41.617306,0.95613337,30.544810343757522,0
19397,18.027756377319946,Open Play,0.956005,18.85738712383298,0.3805063771123649,1,0,1,3,1,0,midfield,Half Volley,Left Foot,1,0,51.62364,1.1938871,14.187385054157042,1
19398,22.47220505424423,Open Play,1.0284,21.851619072582878,0.39852244566642026,1,0,2,3,2,0,forward,Half Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19399,21.213203435596427,Open Play,1.89161,11.214364184793073,0.6327488350021832,1,0,2,3,2,0,midfield,Normal,Left Foot,1,0,33.955853,0.23783593,12.554388173438568,0
19400,9.055385138137417,Open Play,0.433502,20.888912019177344,0.507098504392337,2,0,2,5,2,0,midfield,Normal,Head,1,0,27.166155,1.6814536,16.12372535956322,0
19401,30.4138126514911,Open Play,1.408654,21.590690582280033,0.35470565201094034,3,0,1,2,1,0,defender,Normal,Right Foot,1,0,12.649111,2.819842,7.905200075416235,0
19402,18.027756377319946,Open Play,0.835179,21.585500087190827,1.2924966677897853,0,0,1,4,1,0,forward,Normal,Right Foot,0,0,25.495098,1.3734008,10.607236511538492,0
19403,28.653097563788805,Open Play,1.4034,20.416914325059714,0.3805063771123649,3,0,1,6,1,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
